id;name;description;type@enum:achievement_type;category@enum:achievement_category;rarity@enum:achievement_rarity;icon;objectives;stages;rewards;prerequisiteAchievements;unlockLevel;points;sortOrder;hidden
ach_combat_001;初出茅庐;赢得首场战斗;oneTime;combat;common;icon_ach_combat;"[[""obj_1"",""winBattle"",1]]";;"[[""achievementPoints"",0,5],[""item"",1,5]]";[];1;5;100;false
ach_combat_002;战斗新星;累计赢得10场战斗;cumulative;combat;common;icon_ach_combat;"[[""obj_1"",""winBattle"",10]]";;"[[""achievementPoints"",0,10],[""item"",1,5]]";[];1;10;101;false
ach_combat_003;战场老兵;累计赢得50场战斗;cumulative;combat;rare;icon_ach_combat;"[[""obj_1"",""winBattle"",50]]";;"[[""achievementPoints"",0,20],[""item"",1,5]]";[];1;20;102;false
ach_combat_004;百战不殆;累计赢得100场战斗;cumulative;combat;epic;icon_ach_combat;"[[""obj_1"",""winBattle"",100]]";;"[[""achievementPoints"",0,30],[""item"",1,10]]";[];1;30;103;false
ach_combat_005;千战之王;累计赢得500场战斗;cumulative;combat;legendary;icon_ach_combat;"[[""obj_1"",""winBattle"",500]]";;"[[""achievementPoints"",0,50],[""item"",1,10]]";[];1;50;104;false
ach_combat_006;初试锋芒;首次击杀怪物;oneTime;combat;common;icon_ach_combat;"[[""obj_1"",""killMonster"",1]]";;"[[""achievementPoints"",0,5],[""item"",1,5]]";[];1;5;110;false
ach_combat_007;狩猎新手;累计击杀50只怪物;cumulative;combat;common;icon_ach_combat;"[[""obj_1"",""killMonster"",50]]";;"[[""achievementPoints"",0,10],[""item"",1,5]]";[];1;10;111;false
ach_combat_008;精锐猎人;累计击杀200只怪物;cumulative;combat;rare;icon_ach_combat;"[[""obj_1"",""killMonster"",200]]";;"[[""achievementPoints"",0,20],[""item"",1,5]]";[];1;20;112;false
ach_combat_009;怪物终结者;累计击杀500只怪物;cumulative;combat;epic;icon_ach_combat;"[[""obj_1"",""killMonster"",500]]";;"[[""achievementPoints"",0,30],[""item"",1,10]]";[];1;30;113;false
ach_combat_010;万兽之敌;累计击杀1000只怪物;cumulative;combat;legendary;icon_ach_combat;"[[""obj_1"",""killMonster"",1000]]";;"[[""achievementPoints"",0,50],[""item"",1,10]]";[];1;50;114;false
ach_growth_001;初窥门径;角色等级达到5级;oneTime;growth;common;icon_ach_growth;"[[""obj_1"",""reachLevel"",5]]";;"[[""achievementPoints"",0,10],[""item"",1,5]]";[];1;10;200;false
ach_growth_002;登堂入室;角色等级达到10级;oneTime;growth;common;icon_ach_growth;"[[""obj_1"",""reachLevel"",10]]";;"[[""achievementPoints"",0,15],[""item"",1,5]]";[];1;15;201;false
ach_growth_003;炉火纯青;角色等级达到20级;oneTime;growth;rare;icon_ach_growth;"[[""obj_1"",""reachLevel"",20]]";;"[[""achievementPoints"",0,20],[""item"",1,5]]";[];1;20;202;false
ach_growth_004;登峰造极;角色等级达到30级;oneTime;growth;epic;icon_ach_growth;"[[""obj_1"",""reachLevel"",30]]";;"[[""achievementPoints"",0,30],[""item"",1,10]]";[];1;30;203;false
ach_growth_005;一代宗师;角色等级达到50级;oneTime;growth;legendary;icon_ach_growth;"[[""obj_1"",""reachLevel"",50]]";;"[[""achievementPoints"",0,50],[""item"",1,10]]";[];1;50;204;false
ach_skill_001;初学乍练;学习首个技能;oneTime;collection;common;icon_ach_skill;"[[""obj_1"",""learnSkill"",1]]";;"[[""achievementPoints"",0,5],[""item"",1,5]]";[];1;5;300;false
ach_skill_002;略有所成;学习5个技能;cumulative;collection;common;icon_ach_skill;"[[""obj_1"",""learnSkill"",5]]";;"[[""achievementPoints"",0,10],[""item"",1,5]]";[];1;10;301;false
ach_skill_003;学富五车;学习10个技能;cumulative;collection;rare;icon_ach_skill;"[[""obj_1"",""learnSkill"",10]]";;"[[""achievementPoints"",0,15],[""item"",1,5]]";[];1;15;302;false
ach_skill_004;博学多才;学习15个技能;cumulative;collection;epic;icon_ach_skill;"[[""obj_1"",""learnSkill"",15]]";;"[[""achievementPoints"",0,25],[""item"",1,10]]";[];1;25;303;false
